EstablecimientoCodigo,Cluster,Volumen_Total,Promedio_Semanal,Max_Semanal,Semanas_Con_Datos,RegionCodigo,ServicioSaludCodigo,NivelAtencion,NivelComplejidad,RegionNombre
200736,3,6824.0,10.450229709035222,60.0,524,10,33,1,1.0,Los Lagos
201003,3,6640.0,10.16845329249617,112.0,241,5,7,1,1.0,Valparaíso
200914,3,5699.0,8.727411944869832,95.0,280,2,3,1,1.0,Antofagasta
200771,3,5585.0,8.552833078101072,105.0,107,7,16,1,1.0,Maule
123104,3,5524.0,8.459418070444103,69.0,307,10,23,1,1.0,Los Lagos
200740,3,4759.0,7.287901990811639,76.0,207,4,5,1,1.0,Coquimbo
200832,3,4745.0,7.26646248085758,92.0,262,16,17,1,1.0,Ñuble
201187,3,4742.0,7.261868300153139,107.0,205,8,20,1,1.0,Biobío
200839,3,4624.0,7.081163859111792,69.0,272,16,17,1,1.0,Ñuble
200830,3,4601.0,7.04594180704441,123.0,289,16,17,1,1.0,Ñuble
201359,3,4563.0,6.987748851454824,84.0,152,8,28,1,1.0,Biobío
201180,3,4147.0,6.3506891271056665,125.0,105,4,5,1,1.0,Coquimbo
200969,3,4112.0,6.297090352220521,54.0,247,13,13,1,1.0,Metropolitana
200834,3,4105.0,6.286370597243492,100.0,275,16,17,1,1.0,Ñuble
200991,3,4022.0,6.159264931087289,164.0,74,5,7,1,1.0,Valparaíso
200752,3,3744.0,5.73353751914242,157.0,275,1,2,1,1.0,Tarapacá
200829,3,3404.0,5.212863705972435,56.0,234,16,17,1,1.0,Ñuble
200753,3,3175.0,4.862174578866769,107.0,217,1,2,1,1.0,Tarapacá
200994,3,2926.0,4.480857580398163,131.0,64,5,7,1,1.0,Valparaíso
107815,3,2809.0,4.301684532924962,104.0,60,5,7,1,1.0,Valparaíso
200973,3,2797.0,4.283307810107198,80.0,224,8,20,1,1.0,Biobío
123105,3,2743.0,4.200612557427259,34.0,318,10,23,1,1.0,Los Lagos
200836,3,2709.0,4.14854517611026,38.0,273,16,17,1,1.0,Ñuble
200849,3,2265.0,3.468606431852986,44.0,305,15,1,1,1.0,Arica y Parinacota
201161,3,2265.0,3.468606431852986,79.0,53,14,22,1,1.0,Los Ríos
200992,3,2133.0,3.2664624808575806,157.0,76,5,7,1,1.0,Valparaíso
200754,3,2114.0,3.237366003062787,184.0,147,1,2,1,1.0,Tarapacá
200749,3,2074.0,3.1761102603369067,32.0,270,10,23,1,1.0,Los Lagos
200750,3,2011.0,3.0796324655436447,27.0,294,10,23,1,1.0,Los Lagos
200768,3,1793.0,2.7457886676875956,28.0,285,7,16,1,1.0,Maule
200831,3,1750.0,2.679938744257274,37.0,276,16,17,1,1.0,Ñuble
201043,3,1639.0,2.509954058192956,51.0,170,7,16,1,1.0,Maule
200751,3,1617.0,2.476263399693721,48.0,233,1,2,1,1.0,Tarapacá
200977,3,1521.0,2.329249617151608,24.0,253,8,20,1,1.0,Biobío
200823,3,1344.0,2.0581929555895866,46.0,184,8,28,1,1.0,Biobío
200911,3,1281.0,1.9617151607963246,19.0,260,2,3,1,1.0,Antofagasta
200968,3,1237.0,1.894333843797856,108.0,40,13,13,1,1.0,Metropolitana
200993,3,1201.0,1.8392036753445635,95.0,25,5,7,1,1.0,Valparaíso
200756,3,1184.0,1.8131699846860643,35.0,165,1,2,1,1.0,Tarapacá
200769,3,1087.0,1.664624808575804,18.0,247,7,16,1,1.0,Maule
200826,3,1019.0,1.560490045941807,31.0,158,14,22,1,1.0,Los Ríos
200995,3,962.0,1.4732006125574273,93.0,41,5,7,1,1.0,Valparaíso
200742,3,893.0,1.3675344563552834,48.0,129,4,5,1,1.0,Coquimbo
200841,3,806.0,1.234303215926493,23.0,163,16,17,1,1.0,Ñuble
200978,3,801.0,1.226646248085758,24.0,187,8,20,1,1.0,Biobío
200966,3,693.0,1.0612557427258806,61.0,51,13,13,1,1.0,Metropolitana
200729,3,479.0,0.7335375191424196,25.0,167,5,6,1,1.0,Valparaíso
200824,3,432.0,0.6615620214395099,22.0,110,8,28,1,1.0,Biobío
200996,3,394.0,0.6033690658499234,18.0,61,5,7,1,1.0,Valparaíso
106330,3,392.0,0.6003062787136294,34.0,29,5,6,1,1.0,Valparaíso
201145,3,380.0,0.5819295558958653,62.0,43,5,7,1,1.0,Valparaíso
200761,3,307.0,0.47013782542113325,30.0,72,7,16,1,1.0,Maule
200835,3,285.0,0.43644716692189894,16.0,137,16,17,1,1.0,Ñuble
200762,3,142.0,0.21745788667687596,11.0,84,7,16,1,1.0,Maule
201131,3,131.0,0.2006125574272588,10.0,41,5,7,1,1.0,Valparaíso
200827,3,110.0,0.16845329249617153,8.0,74,16,17,1,1.0,Ñuble
108105,3,69.0,0.10566615620214395,5.0,34,5,8,3,2.0,Valparaíso
200770,3,47.0,0.07197549770290965,26.0,4,7,16,1,1.0,Maule
200759,3,33.0,0.05053598774885146,30.0,4,7,16,1,1.0,Maule
200825,3,28.0,0.042879019908116385,4.0,21,14,22,1,1.0,Los Ríos
110110,3,12.0,0.018376722817764167,4.0,6,13,10,3,3.0,Metropolitana
109102,3,0.0,0.0,0.0,0,13,9,3,3.0,Metropolitana
201179,3,0.0,0.0,0.0,0,4,5,1,1.0,Coquimbo
